Block,Unit,CX,CY
Block_2,Unit_1,2483,4948
Block_2,Unit_2,2279,4821
Block_2,Unit_3,2089,4867
Block_2,Unit_4,2075,4633
Block_2,Unit_5,3277,4677
Block_2,Unit_6,3118,4759
Block_2,Unit_7,2960,4746
Block_2,Unit_8,2507,4492
Block_2,Unit_9,2984,4383
Block_2,Unit_10,3691,4465
Block_2,Unit_11,3442,4531
Block_2,Unit_12,3295,4260
Block_2,Unit_13,2497,4265
Block_2,Unit_14,3652,4248
Block_2,Unit_15,2998,4120
Block_2,Unit_16,2097,4113
Block_2,Unit_17,3652,4107
Block_2,Unit_18,3295,3968
Block_2,Unit_19,2495,3963
Block_2,Unit_20,3468,3952
Block_2,Unit_21,2998,3813
Block_2,Unit_22,2099,3809
Block_2,Unit_23,3656,3797
Block_2,Unit_24,4310,3791
Block_2,Unit_25,2988,3664
Block_2,Unit_26,3688,3648
Block_2,Unit_27,2489,3657
Block_2,Unit_28,4312,3582
Block_2,Unit_29,3677,3503
Block_2,Unit_30,2099,3502
Block_2,Unit_31,6662,3406
Block_2,Unit_32,5107,3611
Block_2,Unit_33,5261,3394
Block_2,Unit_34,4324,3373
Block_2,Unit_35,3515,3349
Block_2,Unit_36,2489,3349
Block_2,Unit_37,4948,3356
Block_2,Unit_38,4796,3364
Block_2,Unit_39,4647,3347
Block_2,Unit_40,4500,3358
Block_2,Unit_41,5409,3373
Block_2,Unit_42,6580,3393
Block_2,Unit_43,6466,3253
Block_2,Unit_44,6331,3260
Block_2,Unit_45,6216,3387
Block_2,Unit_46,6122,3239
Block_2,Unit_47,6025,3613
Block_2,Unit_48,5882,3645
Block_2,Unit_49,5721,3681
Block_2,Unit_50,5564,3735
Block_2,Unit_51,4360,3208
Block_2,Unit_52,2153,3197
Block_2,Unit_53,3819,3193
Block_2,Unit_54,2344,3038
Block_2,Unit_55,3830,3033
Block_2,Unit_56,3617,3175
Block_2,Unit_57,3428,3114
Block_1,Unit_58,3260,3098
Block_1,Unit_59,3086,3121
Block_2,Unit_60,4338,3045
Block_2,Unit_61,5415,3030
Block_2,Unit_62,5222,2976
Block_2,Unit_63,5155,3089
Block_2,Unit_64,5054,3044
Block_2,Unit_65,4972,3190
Block_2,Unit_66,4843,3048
Block_2,Unit_67,4721,3045
Block_2,Unit_68,4604,3033
Block_2,Unit_69,4489,3091
Block_2,Unit_70,6487,3045
Block_2,Unit_71,6342,3096
Block_2,Unit_72,6181,3042
Block_2,Unit_73,6028,3096
Block_2,Unit_74,5872,3047
Block_2,Unit_75,5718,3030
Block_2,Unit_76,5564,3104
Block_2,Unit_77,2589,2705
Block_2,Unit_78,4178,2629
Block_2,Unit_79,2611,2596
Block_2,Unit_80,4039,2587
Block_2,Unit_81,3535,2532
Block_2,Unit_82,2933,2485
Block_2,Unit_83,4175,2487
Block_2,Unit_84,2626,2449
Block_2,Unit_85,4150,2382
Block_2,Unit_86,4045,2380
Block_2,Unit_87,2588,2336
Block_2,Unit_88,3682,2402
Block_2,Unit_89,3535,2359
Block_2,Unit_90,3409,2338
Block_2,Unit_91,3265,2457
Block_2,Unit_92,3096,2414
Block_2,Unit_93,2940,2334
Block_2,Unit_94,4049,2256
Block_2,Unit_95,4165,2255
Block_2,Unit_96,2673,2235
Block_2,Unit_97,2972,2199
Block_2,Unit_98,3646,2198
Block_2,Unit_99,4150,2159
Block_2,Unit_100,4042,2145
Block_2,Unit_101,2587,2104
Block_2,Unit_102,3486,2066
Block_2,Unit_103,2961,2054
Block_2,Unit_104,4013,2040
Block_2,Unit_105,2625,1988
Block_2,Unit_106,3035,1936
Block_2,Unit_107,3604,1929
Block_2,Unit_108,2621,1873
Block_2,Unit_109,3052,1833
Block_2,Unit_110,4169,1771
Block_2,Unit_111,4047,1773
Block_2,Unit_112,3502,1777
Block_2,Unit_113,2587,1760
Block_2,Unit_114,2957,1687
Block_2,Unit_115,4042,1658
Block_2,Unit_116,4165,1659
Block_2,Unit_117,2671,1654
Block_2,Unit_118,2936,1616
Block_2,Unit_119,3746,1548
Block_2,Unit_120,4156,1560
Block_2,Unit_121,4032,1556
Block_2,Unit_122,2621,1528
Block_2,Unit_123,2932,1488
Block_2,Unit_124,3732,1465
Block_2,Unit_125,4045,1439
Block_2,Unit_126,4177,1440
Block_2,Unit_127,2628,1403
Block_2,Unit_128,4161,1335
Block_2,Unit_129,4033,1336
Block_2,Unit_130,3073,1336
Block_2,Unit_131,2944,1265
Block_2,Unit_132,4023,1219
Block_2,Unit_133,4166,1220
Block_2,Unit_134,2641,1237
Block_2,Unit_135,2938,1188
Block_2,Unit_136,3575,1195
Block_2,Unit_137,4161,1116
Block_2,Unit_138,4047,1115
Block_2,Unit_139,2965,1098
Block_2,Unit_140,3072,1105
Block_2,Unit_141,3582,1051
Block_2,Unit_142,3340,1028
Block_2,Unit_143,4171,1005
Block_2,Unit_144,4038,989
Block_2,Unit_145,3443,1160
Block_2,Unit_146,3576,937
Block_2,Unit_147,3701,911
Block_2,Unit_148,4051,853
Block_2,Unit_149,4183,834
Block_2,Unit_150,2980,6405
Block_2,Unit_151,3453,6213
Block_2,Unit_152,2297,6085
Block_2,Unit_153,2846,6077
Block_2,Unit_154,2361,6091
Block_2,Unit_155,2403,6043
Block_2,Unit_156,2430,6032
Block_2,Unit_157,2518,6151
Block_2,Unit_158,2907,6004
Block_2,Unit_159,2562,6056
Block_2,Unit_160,2659,6087
Block_2,Unit_161,3927,6020
Block_2,Unit_162,2690,6070
Block_2,Unit_163,2716,6056
Block_2,Unit_164,2750,6050
Block_2,Unit_165,3137,5904
Block_2,Unit_166,2799,5960
Block_2,Unit_167,2984,6090
Block_2,Unit_168,1927,5921
Block_2,Unit_169,2898,5983
Block_2,Unit_170,2885,5869
Block_2,Unit_171,3320,5885
Block_2,Unit_172,2912,5859
Block_2,Unit_173,2845,5856
Block_2,Unit_174,2941,5851
Block_2,Unit_175,2048,5884
Block_2,Unit_176,3032,5868
Block_2,Unit_177,3098,5793
Block_2,Unit_178,3369,5806
Block_2,Unit_179,4590,5820
Block_2,Unit_180,3158,5863
Block_2,Unit_181,4490,5849
Block_2,Unit_182,3153,5774
Block_2,Unit_183,3206,5826
Block_2,Unit_184,3079,5768
Block_2,Unit_185,4396,5779
Block_2,Unit_186,4107,6078
Block_2,Unit_187,2389,5831
Block_2,Unit_188,3262,5775
Block_2,Unit_189,3550,5714
Block_2,Unit_190,3705,5798
Block_2,Unit_191,3466,5764
Block_2,Unit_192,4081,6047
Block_2,Unit_193,2194,5694
Block_2,Unit_194,3794,5692
Block_2,Unit_195,3315,5675
Block_2,Unit_196,4384,5674
Block_2,Unit_197,2609,5738
Block_2,Unit_198,3491,5680
Block_2,Unit_199,3514,5612
Block_2,Unit_200,1728,5726
Block_2,Unit_201,3782,5613
Block_2,Unit_202,4445,5650
Block_2,Unit_203,3843,5615
Block_2,Unit_204,3416,5633
Block_2,Unit_205,4626,5571
Block_2,Unit_206,3716,5588
Block_2,Unit_207,3748,5523
Block_2,Unit_208,3958,5695
Block_2,Unit_209,2635,5551
Block_2,Unit_210,4012,5513
Block_2,Unit_211,4308,5488
Block_2,Unit_212,3789,5481
Block_2,Unit_213,3946,5572
Block_2,Unit_214,3939,5496
Block_2,Unit_215,3984,5433
Block_2,Unit_216,2563,5454
Block_2,Unit_217,2249,5516
Block_2,Unit_218,4462,5503
Block_2,Unit_219,4241,5414
Block_2,Unit_220,3887,5440
Block_2,Unit_221,4555,5397
Block_2,Unit_222,4360,5386
Block_2,Unit_223,4178,5478
Block_2,Unit_224,3362,5439
Block_2,Unit_225,4219,5343
Block_2,Unit_226,2809,5320
Block_2,Unit_227,4539,5323
Block_2,Unit_228,2516,5338
Block_2,Unit_229,4126,5345
Block_2,Unit_230,2563,5278
Block_2,Unit_231,2731,5275
Block_2,Unit_232,2609,5280
Block_2,Unit_233,3582,5346
Block_2,Unit_234,4316,5275
Block_2,Unit_235,3029,5302
Block_2,Unit_236,2633,5229
Block_2,Unit_237,2940,5232
Block_2,Unit_238,2714,5232
Block_2,Unit_239,5893,5288
Block_2,Unit_240,2664,5216
Block_2,Unit_241,5202,5203
Block_2,Unit_242,4770,5230
Block_2,Unit_243,4492,5208
Block_2,Unit_244,2947,5189
Block_2,Unit_245,4428,5299
Block_2,Unit_246,4631,5217
Block_2,Unit_247,3803,5254
Block_2,Unit_248,4884,5472
Block_2,Unit_249,3172,5154
Block_2,Unit_250,4942,5152
Block_2,Unit_251,5693,5141
Block_2,Unit_252,2930,5146
Block_2,Unit_253,3233,5131
Block_2,Unit_254,2180,5322
Block_2,Unit_255,2895,5118
Block_2,Unit_256,4852,5619
Block_2,Unit_257,6030,5184
Block_2,Unit_258,4722,5112
Block_2,Unit_259,4024,5163
Block_2,Unit_260,5772,5112
Block_2,Unit_261,5177,5066
Block_2,Unit_262,3423,5054
Block_2,Unit_263,5936,5040
Block_2,Unit_264,4897,5040
Block_2,Unit_265,3057,5238
Block_2,Unit_266,2631,5120
Block_2,Unit_267,4833,5135
Block_2,Unit_268,5037,5052
Block_2,Unit_269,2924,4980
Block_2,Unit_270,3215,5041
Block_2,Unit_271,2829,4973
Block_2,Unit_272,5349,4989
Block_2,Unit_273,2861,4975
Block_2,Unit_274,3258,4955
Block_2,Unit_275,2996,5004
Block_2,Unit_276,3097,5139
Block_2,Unit_277,5668,5079
Block_2,Unit_278,6507,4974
Block_2,Unit_279,3397,4968
Block_2,Unit_280,5128,4946
Block_2,Unit_281,3433,4885
Block_2,Unit_282,3084,5277
Block_2,Unit_283,3200,4905
Block_2,Unit_284,1982,5206
Block_2,Unit_285,5583,4901
Block_2,Unit_286,5772,4971
Block_2,Unit_287,3246,4923
Block_2,Unit_288,5303,4875
Block_2,Unit_289,3191,4841
Block_2,Unit_290,5907,4968
Block_2,Unit_291,4828,4848
Block_2,Unit_292,4088,4879
Block_2,Unit_293,4906,4892
Block_2,Unit_294,5239,4970
Block_2,Unit_295,5443,4888
Block_2,Unit_296,3373,4835
Block_2,Unit_297,5755,4824
Block_2,Unit_298,3418,4853
Block_2,Unit_299,4040,4840
Block_2,Unit_300,5020,4846
Block_2,Unit_301,5043,4760
Block_2,Unit_302,3543,4766
Block_2,Unit_303,5646,4805
Block_2,Unit_304,5534,4781
Block_2,Unit_305,3450,4840
Block_2,Unit_306,6981,4782
Block_2,Unit_307,5857,4761
Block_2,Unit_308,5947,4760
Block_2,Unit_309,3350,4776
Block_2,Unit_310,4835,4717
Block_2,Unit_311,4653,4866
Block_2,Unit_312,5710,4711
Block_2,Unit_313,4812,4805
Block_2,Unit_314,3711,4698
Block_2,Unit_315,4641,4684
Block_2,Unit_316,4279,4710
Block_2,Unit_317,1836,4677
Block_2,Unit_318,5830,4689
Block_2,Unit_319,4950,4671
Block_2,Unit_320,3759,4716
Block_2,Unit_321,6088,4678
Block_2,Unit_322,6285,4751
Block_2,Unit_323,6185,4665
Block_2,Unit_324,6373,4646
Block_2,Unit_325,5759,4682
Block_2,Unit_326,1807,4622
Block_2,Unit_327,3879,4630
Block_2,Unit_328,4926,4780
Block_2,Unit_329,3941,4607
Block_2,Unit_330,3611,4670
Block_2,Unit_331,6123,4613
Block_2,Unit_332,3924,4648
Block_2,Unit_333,4980,4605
Block_2,Unit_334,3789,4809
Block_2,Unit_335,1806,4578
Block_2,Unit_336,6290,4622
Block_2,Unit_337,6056,4587
Block_2,Unit_338,4965,4560
Block_2,Unit_339,1808,4535
Block_2,Unit_340,5994,4585
Block_2,Unit_341,5063,4512
Block_2,Unit_342,4280,4552
Block_2,Unit_343,6526,4532
Block_2,Unit_344,1806,4491
Block_2,Unit_345,6343,4525
Block_2,Unit_346,4053,4600
Block_2,Unit_347,6420,4537
Block_2,Unit_348,4215,4647
Block_2,Unit_349,1660,4449
Block_2,Unit_350,6758,4559
Block_2,Unit_351,4170,4588
Block_2,Unit_352,4456,4595
Block_2,Unit_353,6415,4447
Block_2,Unit_354,1806,4447
Block_2,Unit_355,6847,4454
Block_2,Unit_356,6442,4437
Block_2,Unit_357,6373,5134
Block_2,Unit_358,6232,4491
Block_2,Unit_359,6502,4506
Block_2,Unit_360,5283,4440
Block_2,Unit_361,1808,4404
Block_2,Unit_362,6421,5098
Block_2,Unit_363,6563,4434
Block_2,Unit_364,2087,4382
Block_2,Unit_365,1806,4359
Block_2,Unit_366,6662,4460
Block_2,Unit_367,6651,4350
Block_2,Unit_368,6468,4390
Block_2,Unit_369,5841,4429
Block_2,Unit_370,6673,4327
Block_2,Unit_371,4362,4393
Block_2,Unit_372,5238,4375
Block_2,Unit_373,4874,4414
Block_2,Unit_374,1807,4315
Block_2,Unit_375,2010,4422
Block_2,Unit_376,4357,4284
Block_2,Unit_377,6800,4337
Block_2,Unit_378,1807,4272
Block_2,Unit_379,5002,4267
Block_2,Unit_380,2253,4378
Block_2,Unit_381,4771,4257
Block_2,Unit_382,6752,4430
Block_2,Unit_383,5613,4260
Block_2,Unit_384,6064,4342
Block_2,Unit_385,1746,4248
Block_2,Unit_386,5348,4278
Block_2,Unit_387,1885,4259
Block_2,Unit_388,2261,4197
Block_2,Unit_389,2053,4219
Block_2,Unit_390,5365,4191
Block_2,Unit_391,5030,4196
Block_2,Unit_392,4510,4249
Block_2,Unit_393,4924,4205
Block_2,Unit_394,1745,4205
Block_2,Unit_395,1848,4202
Block_2,Unit_396,5144,4855
Block_2,Unit_397,4536,4152
Block_2,Unit_398,6283,4247
Block_2,Unit_399,1747,4160
Block_2,Unit_400,1884,4171
Block_2,Unit_401,4524,4129
Block_2,Unit_402,5235,4167
Block_2,Unit_403,1821,4101
Block_2,Unit_404,6076,4110
Block_2,Unit_405,6090,4110
Block_2,Unit_406,6086,4076
Block_2,Unit_407,1859,4073
Block_2,Unit_408,5151,4206
Block_2,Unit_409,4688,4167
Block_2,Unit_410,6092,4063
Block_2,Unit_411,6505,4157
Block_2,Unit_412,5841,4073
Block_2,Unit_413,1929,4850
Block_2,Unit_414,4889,4110
Block_2,Unit_415,6100,4053
Block_2,Unit_416,5061,4107
Block_2,Unit_417,1775,4056
Block_2,Unit_418,5251,4060
Block_2,Unit_419,4722,4043
Block_2,Unit_420,5889,4060
Block_2,Unit_421,6114,4053
Block_2,Unit_422,5124,4193
Block_2,Unit_423,4959,4026
Block_2,Unit_424,5072,4002
Block_2,Unit_425,4950,4001
Block_2,Unit_426,1728,4036
Block_2,Unit_427,5650,4062
Block_2,Unit_428,1808,3965
Block_2,Unit_429,4365,4065
Block_2,Unit_430,6296,4055
Block_2,Unit_431,5799,3996
Block_2,Unit_432,5181,4651
Block_2,Unit_433,5604,4205
Block_2,Unit_434,1806,3921
Block_2,Unit_435,5716,3965
Block_2,Unit_436,5594,3931
Block_2,Unit_437,5670,3942
Block_2,Unit_438,1807,3877
Block_2,Unit_439,5620,3869
Block_2,Unit_440,6651,3886
Block_2,Unit_441,5980,3934
Block_2,Unit_442,6757,3863
Block_2,Unit_443,1808,3834
Block_2,Unit_444,6858,3885
Block_2,Unit_445,5761,3863
Block_2,Unit_446,5837,3871
Block_2,Unit_447,6124,3857
Block_2,Unit_448,5802,3796
Block_2,Unit_449,6153,3782
Block_2,Unit_450,1808,3790
Block_2,Unit_451,6907,3814
Block_2,Unit_452,5925,4073
Block_2,Unit_453,5960,3784
Block_2,Unit_454,6007,3803
Block_2,Unit_455,1807,3746
Block_2,Unit_456,5962,3731
Block_2,Unit_457,1976,4630
Block_2,Unit_458,6089,3730
Block_2,Unit_459,6039,3790
Block_2,Unit_460,1807,3702
Block_2,Unit_461,6106,3673
Block_2,Unit_462,6237,3790
Block_2,Unit_463,1844,3672
Block_2,Unit_464,6463,3798
Block_2,Unit_465,1832,3624
Block_2,Unit_466,1967,5611
Block_2,Unit_467,6186,3641
Block_2,Unit_468,6803,3649
Block_2,Unit_469,6645,3501
Block_2,Unit_470,1974,3577
Block_2,Unit_471,6732,3480
Block_2,Unit_472,6710,3472
Block_2,Unit_473,6674,3324
Block_2,Unit_474,5953,3266
Block_2,Unit_475,5646,3266
Block_2,Unit_476,4727,3287
Block_2,Unit_477,5197,3267
Block_2,Unit_478,5066,3276
Block_2,Unit_479,5379,3281
Block_2,Unit_480,5059,3162
Block_2,Unit_481,6588,3161
Block_2,Unit_482,5289,3249
Block_2,Unit_483,6844,3368
Block_2,Unit_484,6713,3068
Block_2,Unit_485,6903,3088
Block_2,Unit_486,6786,3088
Block_2,Unit_487,6602,3063
Block_2,Unit_488,3673,3025
Block_2,Unit_489,3348,3025
Block_1,Unit_490,2995,3023
Block_2,Unit_491,6661,3041
Block_2,Unit_492,6577,3006
Block_2,Unit_493,5289,3028
Block_2,Unit_494,6827,2998
Block_2,Unit_495,4223,2861
Block_2,Unit_496,4461,2773
Block_2,Unit_497,6786,2745
Block_2,Unit_498,6953,2578
Block_2,Unit_499,2130,2851
Block_2,Unit_500,5961,2543
Block_2,Unit_501,6766,2531
Block_2,Unit_502,5554,2542
Block_2,Unit_503,4637,2530
Block_2,Unit_504,2329,2469
Block_2,Unit_505,2329,2447
Block_2,Unit_506,2329,2425
Block_2,Unit_507,2329,2403
Block_2,Unit_508,2329,2381
Block_2,Unit_509,2329,2359
Block_2,Unit_510,4316,2465
Block_2,Unit_511,2353,2342
Block_2,Unit_512,2256,2323
Block_2,Unit_513,2256,2301
Block_2,Unit_514,2328,2271
Block_2,Unit_515,2248,2258
Block_2,Unit_516,2328,2227
Block_2,Unit_517,2328,2205
Block_2,Unit_518,4318,2259
Block_2,Unit_519,2402,2198
Block_2,Unit_520,2329,2162
Block_2,Unit_521,2329,2140
Block_2,Unit_522,4305,2166
Block_2,Unit_523,2329,2118
Block_2,Unit_524,4765,2748
Block_2,Unit_525,2297,2054
Block_2,Unit_526,2429,2047
Block_2,Unit_527,2316,2029
Block_2,Unit_528,4118,2049
Block_2,Unit_529,2316,2007
Block_2,Unit_530,3224,2008
Block_2,Unit_531,3378,2053
Block_2,Unit_532,4221,1861
Block_2,Unit_533,3995,1873
Block_2,Unit_534,4071,1869
Block_2,Unit_535,3361,1863
Block_2,Unit_536,2308,1790
Block_2,Unit_537,2308,1768
Block_2,Unit_538,4317,1798
Block_2,Unit_539,2308,1746
Block_2,Unit_540,2308,1724
Block_2,Unit_541,2907,1742
Block_2,Unit_542,2308,1702
Block_2,Unit_543,2308,1680
Block_2,Unit_544,2308,1658
Block_2,Unit_545,3044,1672
Block_2,Unit_546,2308,1636
Block_2,Unit_547,3437,1653
Block_2,Unit_548,3315,1650
Block_2,Unit_549,2308,1614
Block_2,Unit_550,2308,1592
Block_2,Unit_551,3556,1640
Block_2,Unit_552,2308,1570
Block_2,Unit_553,3226,1817
Block_2,Unit_554,2307,1549
Block_2,Unit_555,2307,1527
Block_2,Unit_556,3538,1535
Block_2,Unit_557,2308,1505
Block_2,Unit_558,2308,1483
Block_2,Unit_559,3026,1484
Block_2,Unit_560,2308,1461
Block_2,Unit_561,2308,1439
Block_2,Unit_562,3656,1444
Block_2,Unit_563,3549,1444
Block_2,Unit_564,3631,1335
Block_2,Unit_565,2206,2515
Block_2,Unit_566,4316,1162
Block_2,Unit_567,4432,1095
Block_2,Unit_568,2165,1009
Block_2,Unit_569,3351,1389
Block_2,Unit_570,3194,996
Block_2,Unit_571,2764,1009
Block_2,Unit_572,2341,1176
Block_2,Unit_573,2603,992
Block_2,Unit_574,1505,2540
Block_2,Unit_575,2303,936
Block_2,Unit_576,2752,906
Block_2,Unit_577,2819,979
Block_2,Unit_578,2372,893
Block_2,Unit_579,2922,902
Block_2,Unit_580,2448,894
Block_2,Unit_581,3015,947
Block_2,Unit_582,3026,832
Block_2,Unit_583,2444,821
Block_2,Unit_584,2249,844
Block_2,Unit_585,4450,938
Block_2,Unit_586,4309,935
Block_2,Unit_587,4380,802
Block_2,Unit_588,2522,1176
Block_2,Unit_589,3646,680
Block_2,Unit_590,3772,683
Block_2,Unit_591,3958,678
Block_2,Unit_592,2520,782
Block_2,Unit_593,3711,753
Block_2,Unit_594,3905,721
Block_2,Unit_595,3389,755
Block_2,Unit_596,4115,607
Block_2,Unit_597,4366,583
Block_2,Unit_598,4414,356
Block_2,Unit_599,4328,359
